ticker,date,item,ar01,car2_10,car2_20
AAPL,2026-04-30,2.02,0.023692648865752584,0.025140866437037605,0.05829361588773817
AAPL,2026-04-20,5.02,-0.005841911939092417,0.019215354503953733,0.06352241249008933
AAPL,2026-02-24,other,0.011336321342335401,-0.013157208110456368,0.0013421557561477783
AAPL,2026-01-29,2.02,0.0184136246897549,0.03249985900888183,0.0355088795711284
AAPL,2026-01-02,5.02,-0.027426192921723977,-0.050470660478143484,0.0009428536254488806
AAPL,2025-12-05,5.02,-0.008479319831557785,-0.01279682268708048,-0.07486417371410736
AAPL,2025-10-30,2.02,0.012696676730351762,0.03130135008549846,0.034749967932581644
AAPL,2025-07-31,2.02,-0.006191228455858655,0.10716337980576084,0.10749500854883329
AAPL,2025-07-25,5.02,-0.001626049739032573,0.07931323624859388,0.06747281635994756
AAPL,2025-07-09,5.02,0.0023274146706673948,-0.0006343046311593232,0.0073221733489017005
AAPL,2025-05-12,8.01,0.02505074840724813,-0.07115349106507189,-0.08446543251981328
AAPL,2025-05-01,2.02,-0.05633771518605243,-0.014105425203417059,-0.07057244602999281
AAPL,2025-02-25,other,-0.023353597998093913,-0.02104713088522267,-0.044600927696508204
AAPL,2025-01-30,2.02,-0.015332706517876752,0.0082848172878319,0.02779062279522891
AAPL,2025-01-03,5.02,-0.013678254875208892,-0.10865076570328719,-0.062256213397588314
AAPL,2024-10-31,2.02,-0.015321516752597575,-0.013618773211736879,0.011335639647605998
AAPL,2024-09-10,7.01,-0.007059896759142656,-0.0123193375615482,-0.02246866779471709
AAPL,2024-08-26,5.02,0.006584746948934391,-0.00913035781061309,-0.021550191675449394
AAPL,2024-08-23,other,0.002850671926349099,0.0012755300050280999,-0.021407330527056564
AAPL,2024-08-01,2.02,0.026240737268093152,-0.013649422361183397,0.001631472846883364
AAPL,2024-05-03,7.01,0.028898670168222434,0.028641559800847025,0.06385978266333955
AAPL,2024-05-02,2.02,0.060929038248875744,0.010211790505256783,0.03628345027981558
AAPL,2024-02-28,other,-0.013028909609897239,-0.07196056396509071,-0.07783806683656734
AAPL,2024-02-01,2.02,-0.01914418112471923,-0.030047860449785444,-0.08080395752012508
AAPL,2023-11-02,2.02,-0.02182761493952839,0.02602948101674029,0.007728920225806216
AAPL,2023-08-03,2.02,-0.04628045834618255,-0.014803948102190228,0.019103775477763364
MSFT,2026-06-05,5.02,-0.01482005828685148,-0.10948335985797095,-0.035501491698248955
MSFT,2026-05-14,5.02,0.04681528791729497,0.05744594333362472,-0.053780791890621314
MSFT,2026-04-29,2.02,-0.057751068086111794,-0.02806922558179875,0.02101251812945648
MSFT,2026-01-28,2.02,-0.09579658903502591,-0.06379098626956936,-0.06307880357303172
MSFT,2025-12-08,5.02,0.021482447384444683,-0.020329003003283587,-0.03058747747124349
MSFT,2025-10-29,2.02,-0.021072238486511262,-0.0356128865926598,-0.08294269107810866
MSFT,2025-09-30,5.02,0.0027045841721572237,-0.005842087279180555,0.011439151111733697
MSFT,2025-07-30,2.02,0.04499671360653294,-0.044292062494139875,-0.07392908994959585
MSFT,2025-07-01,other,-0.016389658594669978,0.02495872122065874,0.02622197511150683
MSFT,2025-04-30,2.02,0.07256600142649819,0.013215878147846,0.030236099312801034
MSFT,2025-01-29,2.02,-0.07226365291972953,-0.004401983457757091,0.0006376113301782907
MSFT,2025-01-22,5.02,0.03018842254748713,-0.05923374783126305,-0.05694053129457811
MSFT,2024-12-11,7.01,0.012661127695069158,-0.016452795824238996,-0.01771036651144682
MSFT,2024-12-03,8.01,0.008422716950261666,0.05120881922381859,0.011255130167289061
MSFT,2024-10-30,2.02,-0.032322242270569415,-0.005229842067694814,-0.0052955502325838805
MSFT,2024-08-21,7.01,-0.01709476120329926,-0.005466292130874864,0.01996657437886775
